su_id,std_dem,avg_plan_c,std_plan_c,avg_prof_c,std_prof_c,dis2river,land cover,dis2faults,avg_slope,std_slope,lithology,medi_aspec
99,129.0170898,26.73579979,16.86162376,7.148807049,4.135630608,950.0393508,3,29743.416,18.66567039,8.185591698,4,219.0531311
100,169.417099,38.40623093,25.41475868,6.879371643,3.764400959,4441.421548,3,8483.978657,19.69594193,5.650076389,5,51.75357437
101,52.55243301,41.85737991,28.89023209,8.904336929,5.212188721,2924.762169,3,3764.863918,21.56859207,6.295257568,4,296.8219604
102,126.435791,29.10983086,18.38911819,8.604235649,4.924359798,2607.36748,3,9306.751517,20.64414978,6.720097542,4,305.1341858
103,197.4072723,30.07162666,16.57691383,10.62582016,5.856990814,626.5182691,3,18257.30927,29.09690857,9.128497124,2,169.6951599
104,170.6766968,31.9114666,19.08359528,11.4947567,7.179129601,171.8398789,3,17658.02891,28.0165062,8.969958305,2,159.3994446
105,190.2140503,21.35254669,13.49795818,7.746554375,4.635184765,1271.30409,3,33429.03042,25.4892025,7.117698193,4,204.0998535
106,94.59480286,26.93727875,16.76813889,8.122354507,4.719946861,1161.12556,3,14305.67771,24.40589714,7.38218689,4,227.9207153
107,137.1790771,28.24531746,16.35476685,7.965254307,4.627008438,4008.84474,3,9016.434224,25.24843788,6.897834778,5,76.26247406
108,65.74300385,26.24870872,15.0121603,6.243777752,4.181238174,2693.038592,3,1412.42585,11.52996349,3.743164301,2,235.1198425
109,172.3597565,30.09295845,17.82210922,10.55109596,6.459806919,713.5416787,1,29551.35644,27.48873138,11.35602188,4,288.328064
110,94.2647171,34.19015503,23.69281387,9.828630447,5.597598553,799.3550406,3,31790.88458,23.11308479,8.420814514,4,73.90235901
111,148.8817139,26.83260345,17.43007088,9.434589386,5.5784688,817.3446858,3,32523.90131,8.994112968,2.303294182,4,20.11817932
112,79.30862427,32.5754776,18.59915543,8.753790855,4.847413063,816.9368885,3,17965.67027,10.72660828,5.731791019,4,158.5323486
113,105.1362534,25.68634224,15.9393177,6.575158596,3.911439419,996.7514728,3,3081.057603,17.50257683,6.686427116,2,237.5288086
